jp,tw,kw
"{カイエン}
	「すまん！
	だが、このままではまずい
	いったんひこう","{Cayenne}:
	My thanks!
	But this smacks of trouble,
	so let us draw back for now.",(blank)
"{シャドウ}
	「俺の役目はこれで終わり
	金の分だけ働いたぜ！！","{Shadow}:
	My duty ends here.
	I've earned my pay!!","{SHADOW}:
	My job here's over.
	I've earned my fee!"
"{シャドウ}
	「あばよ……","{Shadow}:
	So long...","{SHADOW}:
	Ta-ta......!"
"{ｶｲｴﾝ}「プラットホームに列車！？
	　未だに戦火にまき込まれていない
	　ドマ鉄道がのこっていたとは…
	{ﾏｯｼｭ}「生き残りがいるかも
	　しれない。調べてみよう。","{Cayenne}: A train at the platform!?
	 I can scarce believe that a Doma rail line yet
	 remaineth, not swallowed in the flames of war...
	{Mash}: There might be survivors.
	 Let's try taking a look.","{CYAN}: A train's there!?
	But I thought Doma's railway had been destroyed...?
	{SABIN}: May be survivors inside. Let's take a look."
"{ﾏｯｼｭ}「おっ！
　ここから中に入れそうだ。","{Mash}: Hey!
	 Looks like we can get in here.","{SABIN}: Hey!
  We can get in right here!"
{ｶｲｴﾝ}「{マッシュ}殿！,{Cayenne}: Sir {Mash}!,{CYAN}: Sir {SABIN}!
"{ﾏｯｼｭ}「このまま外を
　うろついているだけじゃ、ダメだ。
　中を調べてみなきゃ。","{Mash}: No good just loitering
	 around outside like this.
	 Gotta try checking inside.","{SABIN}: We can't just wander
  around out here!
  We have to go on board!"
{ｶｲｴﾝ}「{マッシュ}殿！,{Cayenne}: Sir {Mash}!,{CYAN}: Sir {SABIN}!
{ﾏｯｼｭ}「心配するなって。,"{Mash}: I'm telling you, don't worry about it.",{SABIN}: Don't worry!
{ｶｲｴﾝ}「{マッシュ}殿！,{Cayenne}: Sir {Mash}!,{CYAN}: Sir {SABIN}!
{ﾏｯｼｭ}「なんだ、ここは？,{Mash}: What's with this place?,{SABIN}: What on earth...?
"{ｶｲｴﾝ}「出るでござる！
　これは魔列車ですぞ！！","{Cayenne}: Disembark!
	 This be the Grim Train!!","{CYAN}: Let me off!
  This train's haunted!"
"{ﾏｯｼｭ}「動き出した！？
	{ｶｲｴﾝ}「はやく出なければ！","{Mash}: It's started moving!?
	{Cayenne}: Needs we must leave quickly!","{SABIN}: I...it's moving!
	{CYAN}: If we don't get off now..."
{ﾏｯｼｭ}「開かねえ！,{Mash}: It won't open!,{SABIN}: Won't open!
{ｶｲｴﾝ}「おそかったでござるか。,{Cayenne}: Then we be too late.,{CYAN}: We're too late.
{ﾏｯｼｭ}「この列車は？,{Mash}: What's up with this train?,{SABIN}: What's with this train?
"{ｶｲｴﾝ}「これは魔列車…
　死んだ人間のたましいを、霊界へと
　送りとどける列車でござる。","{Cayenne}: This be the Grim Train...
	 the train that delivereth the souls of
	 those who died unto the spirit world.","{CYAN}: This is the Phantom
  Train...
  It carries the departed to...the
  other side."
"{ﾏｯｼｭ}「…待てよ。
	　ってェ事は、俺達も霊界とやらに
	　案内されちまうって事か？
	{ｶｲｴﾝ}「このまま乗り続ければ、
	　そういう事になるでござる。","{Mash}: ...hold on.
	 So does that mean we're gonna be
	 guided to that spirit whatever too?
	{Cayenne}: An we continue on riding,
	 such will come to pass.","{SABIN}: Wait a sec...
	I don't want to go THERE!
	{CYAN}: We all have to go sometime..."
"{ﾏｯｼｭ}「そんなのごめんだぜ！
　おりられないとなれば
　列車を止めるしかないだろう。
　とりあえず最前両の機関車へ！","{Mash}: No thanks to that!
	 If we can't get off, I guess there's
	 no choice but to stop the train.
	 So, to the locomotive up front!","{SABIN}: I have things to do HERE.
  We have to stop this thing.
  Let's make for the engine."
"車掌「わたしがこの列車の車掌です。
	　どのようなご用事でしょう？","Conductor: I am this train's conductor.
	 What brings you here?",IMPRESARIO: I manage this train! What business have you here?
"車掌「魔列車は、死んだ人のたましいを
	　霊界に運ぶために運行しています。
	　魔列車に乗ったたましいは霊界に
	　運ばれた後永遠の安息を得るのです。","Conductor: The Grim Train runs to carry
	 the souls of the dead to the spirit world.
	 Once the souls on the Grim Train are
	 carried there, they gain their eternal rest.","IMPRESARIO: This train ferries
	the dear departed to the
	other side. There they can take their eternal rest."
"車掌「列車の止めかたですか？
	　機関室をくまなく調べれば
	　おわかりになりますよ。","Conductor: How to stop the train?
	 Look around the engine room
	 and you'll figure it out.",IMPRESARIO: Wanna stop the train? Just use the controls in the engineer's compartment!
"{ｶｲｴﾝ}「時刻表でござるか？
	{ﾏｯｼｭ}「どれどれ…
	　なんだ、ぜんぶ白紙じゃないか。","{Cayenne}: A timetable?
	{Mash}: Let's see...
	 Huh, it's all blank.","{CYAN}: Be these time schedules?
	{SABIN}: Hmmm...
	They're all blank!"
"車掌「この列車は、死んだもの達を
	　霊界に案内する魔列車です。
	　争いに満ちた今の世の中では、
	　時刻表など、とても作れません。","Conductor: This is the Grim Train that
	 guides the dead to the spirit realm.
	 There's too much war in the world these
	 days to possibly draw up a timetable.","IMPRESARIO: The Phantom Train
	guides ""the departed ones"" to
	the spirit world. They have no need of schedules!"
"{ﾏｯｼｭ}「なんだ、これ？
	　引っ張ってみようか。","{Mash}: What's this?
	 Let's try flipping it.","{SABIN}: What's this?
	Let me just give it a..."
"{ｶｲｴﾝ}「{マッシュ}殿！
	　いじり回さないほうがよいでござる。","{Cayenne}: Sir {Mash}!
	 Best not to tinker with anything.","{CYAN}: Sir {SABIN}!
	Maybe we shouldn't fumble with that!"
{ﾏｯｼｭ}「引っ張っちゃったもんね～。,"{Mash}: There, flipped it!",{SABIN}: Gave it my best shot.
{ｶｲｴﾝ}「な、なんと！？,{Cayenne}: Wh-what!?,{CYAN}: How can you...!?
{ｶｲｴﾝ}「まったく、もう…,{Cayenne}: Good grief...,{CYAN}: How could you...
"{ﾏｯｼｭ}「……、{カイエン}。
	　もしかして怖いのか？","{Mash}: ...{Cayenne}.
	 Don't tell me you're scared?","{SABIN}: {CYAN}...
	You're not...scared, are you!?"
"{ｶｲｴﾝ}「な、なにをおっしゃる！
	別にせっしゃが機械が苦手なもんで、
	なるたけ機械とは関わりたくない、
	などと考えているワケではござらぬゾ。
	いや、ホントに。","{Cayenne}: Wh-what speakest thou!
	'Tis not as if I wish to avoid getting involved
	with machinery whenever possible because
	I cannot cope with it or any such nonsense.
	Nay indeed.","{CYAN}: How dare you?!
	Just because I respect other beings' property doesn't mean I'm not mechanically minded!"
"{ﾏｯｼｭ}「{カイエン}…
	　おまえ、機械が苦手だったんだ。","{Mash}: {Cayenne}...
	 You're no good with machines, huh.","{SABIN}: {CYAN}...
	You're a total klutz when it comes to machines."
"{ｶｲｴﾝ}「うっ！
	　な、なぜわかったのでござるか！？","{Cayenne}: Urk!
	 H-how coudst thou tell!?","{CYAN}: SILENCE...!
	H...how could you tell?"
…に、が、さ、ん……,  ...won't... let... you... escape...,      N.o...e.s.c.a.p.e...!
"『ハアハア…
　なんだったんだ、いったい。","""*pant*, *pant*...
	 What was that all about?""","Ha, ha ha...
  What ever did you think you
  were doing?"
…に、が、さ、ん……,  ...won't... let... you... escape...,      N.o...e.s.c.a.p.e...!
「ん？,: Hm?,Huh!?
『なんだ、この声は？,"""What's up with these voices?""",Who's there!?
『こっちから聞こえてくるぞ,"""I'm hearing them from over here.""",It came from this direction.
…に、が、さ、ん……,  ...won't... let... you... escape...,      N.o...e.s.c.a.p.e...!
『げっ！　追ってきやがった。,"""Geh! Dammit, they're following us.""",Whoa! They're coming...!
…に、が、さ、ん……,  ...won't... let... you... escape...,      N.o...e.s.c.a.p.e...!
『こっちにも！,"""Over here too!""",This way too!
"　　逃がすな……　
	　　　　逃がすな……　
	　　　　　　逃がすな……","  Don't let them escape...
	    Don't let them escape...
	      Don't let them escape...","   You can't escape... 
	     Nowhere to run... 
	       Nowhere to hide..."
『しつこいやつらめ！,"""They're damn stubborn!""",Bloody persistent...!
{ｶｲｴﾝ}「いきどまりでござる！,{Cayenne}: 'Tis a dead end!,{CYAN}: I believe we're stuck!
"{ﾏｯｼｭ}「よし！
	{ｶｲｴﾝ}「何かよい考えでも？","{Mash}: Okay!
	{Cayenne}: A good notion, mayhap?","{SABIN}: I know!
	{CYAN}: You have an idea?"
"{ﾏｯｼｭ}「おうよ！
　今こそ、しゅぎょうのせいかを
　みせるとき！
　こい、{カイエン}！","{Mash}: Oh, yeah!
	 Now's the time to show
	 the fruits of my training!
	 Come on, {Cayenne}!","{SABIN}: Okay...
	The time has come to see if all my training has paid off. Come, {CYAN}!"
{ﾏｯｼｭ}「うおおおおお！,{Mash}: Graaaaah!,{SABIN}: Yahoooo!!
…に、が、さ、ん……,  ...won't... let... you... escape...,      N.o...e.s.c.a.p.e...!
"『おい…　
	『もしかして…","""Hey...""
	""Could they be...?""","Hey... 
	Uh, oh...?"
『しつこいやつらめ！,"""They're damn stubborn!""",Bloody persistent...!
『後ろの車両を切りはなさなくては。,"""We must detach the rear cars.""",We have to detach the rear train cars!
『これならもう追ってこられないな。,"""Now they can't follow anymore.""",Can't follow us now.
"{ﾏｯｼｭ}「メシだ、メシだ！
　山ほどもってこ～い！","{Mash}: Food, food!
	 Bring me mountains of it!","{SABIN}: Food! Food!
  Bring me everything ya got!"
"{ｶｲｴﾝ}「こ、こんなもの食べて、
　だいじょうぶなのでござろうか？","{Cayenne}: W-wilt be all right,
	 eating such things?","{CYAN}: A...are you going to be
  okay if you eat THIS?"
"{ﾏｯｼｭ}「心配なのか？
　ま、いいんじゃないの。
　ハラがへってはイクサはできんよ。","{Mash}: Worried?
	 Hey, it's no big deal.
	 Can't wage war on an empty stomach.","{SABIN}: Worried?
  Can't wage war on an empty
  stomach!"
"{ｶｲｴﾝ}「うーむ…
　せっしゃは、どうもこういう話は
　苦手でござる。まったく…","{Cayenne}: Hmm...
	 Such talk as this is no strong
	 point of mine. Confound it all...","{CYAN}: Hummm...
  Sir! I won't hear any more of
  this kind of talk!"
"{ﾏｯｼｭ}「さて！
　たらふく食ったし、行くとするか！","{Mash}: Now!
	 We've eaten up, so how about we get going!","{SABIN}: Well!
  I've stuffed down all I can...
  Let's go!"
"{ｼｬﾄﾞｳ}「……
	　インターセプター、お前も食べるか？","{Shadow}: ......
	 Interceptor, will you eat too?","{SHADOW}: ......
	Interceptor...are you hungry?"
"{ﾏｯｼｭ}「さ～て！　メシだ、メシだ！
	　たらふくたべるぞ！","{Mash}: Come on! Food, food!
	 I'm gonna eat my heart out!","{SABIN}: Food! Chop!
	Let's go slop the hogs!"
男の声「ちょいと待ちな！,Male Voice: Just a minute!,VOICE: Stop where you are!
"ｼﾞｰｸﾌﾘｰド「オレさまは、世界一の剣士
　ジークフリード。
　そこにあるお宝はオレさまのもんだ。
　さ、ジジイとキンニクだるまは、
　帰った、帰った！","Siegfried: I am Siegfried, the
	 world's greatest swordsman.
	 The treasure there is mine.
	 Now, geezer and musclehead,
	 get lost, get lost!","MAN: I am Ziegfried, the world's
  greatest swordsman! That
  treasure chest is mine.
  If I were you, Ox, I'd grab
  grandpa, here, and run!"
"{ﾏｯｼｭ}「世界一の剣士様？
	　そっちこそケガしないうちに帰りな。
	ｼﾞｰｸﾌﾘｰド「なにっ！
	　キンニクだるまのぶんざいで！
	　オレさまの剣のサビにしてくれる！","{Mash}: World's greatest swordsman?
	 Get lost yourself before you get hurt.
	Siegfried: What!
	 How dare you, musclehead!
	 I'll reduce you to rust on my sword!","{SABIN}: You look more like a manicurist. Now SCRAM!!!
	ZIEGFRIED: Aha!
	The ox bellows!
	Allow me to introduce my blade!"
"いくぞ！　こわっぱども！！
　うりゃりゃりゃーー！！","Here we go! You little twerps!!
	Uryaryaryaa!!",Go! Guys!!
"ぜえ　ぜえ　ぜえ
　ど、どうだ！　まいったか！！","*gasp* *gasp* *gasp*
  H-how's that! Give up!?","Ha, ha, ha!
  Give up?"
『くちほどにもないヤツだな。,"""His bark's worse than his bite.""",What a bag of wind...
"ｼﾞｰｸﾌﾘｰド「く、くそ！
　しかーし！
　最後にわらうのはこのオレだあ！","Siegfried: C-crap!
	 However!
	 The one who laughs last is me!","SIGFRIED: Impossible!
  I...I'm the greatest...
  But I'll still laugh last!"
"ｼﾞｰｸﾌﾘｰド「ふはははは。
　このお宝はオレさまがいただくぜ。
　アディオス　アミーゴ！","Siegfried: Huhahahaha.
	 I'll be taking this treasure.
	 Adios, amigos!","SIGFRIED: Uwa, ha, ha!
  This treasure is mine!
  Ta ta, cretins!"
『行ってしまうのか？,"""You're leaving?""",Shall we be off?
『ここからは、俺達だけか…,"""Guess it's just us from here...""",Guess we're on our own now...
"『ここが機関車の制ぎょ室か。
	　はやく列車を止めないと…","""This is the engine control room.
	 Gotta stop the train quick...""","This is the engineer's room.
	Gotta stop this thing...!"
"『ん？　なにか書いてあるな。
	なになに？　
	機関車を止めるには、第一、第三番
	圧力べんを止め、えんとつの横にある
	ていしスイッチをおしてください？","""Hm? Something's written here.
	What's this?
	To stop the engine, shut off the first and
	third pressure valves, then press the
	kill switch next to the smokestack?""","Something's written here!
	What? What? 
	To stop the train, shut the first and third pressure valves,
	and operate the switch outside, near the smoke stack."
"『このスイッチをおせば、列車は
　止まるはずだ。","""The train should stop if we
	 push this switch.""",Press this switch and the train'll stop.
"魔列車「私の走行を邪魔するのは
　お前達か！","Grim Train: So, you're the ones
	 who are hindering my travels!","PHANTOM TRAIN: So! You've been
  slowing my progress!"
"魔列車「お前達はおろしてやろう…
　だがその前に、やらねばならぬ
　事がある…","Grim Train: I shall let you off...
	 But there is something I must
	 do before that...","PHANTOM TRAIN: I will let you go...
  ...but first there is something I must do..."
{ｶｲｴﾝ}「ついたようでございる。,{Cayenne}: We seem to have arrived.,{CYAN}: Gulp...where are we?
"{ﾏｯｼｭ}「やーれ、やれ。
	　やっとおりられたぜ。","{Mash}: Yeesh.
	 Finally made it off.","{SABIN}: Hoo, boy!
	Finally got off..."
"{ﾏｯｼｭ}「こんな列車とは、
	　はやいとこ、おサラバしようぜ。","{Mash}: Let's hurry up and say
	 good riddance to this train.",{SABIN}: We shouldn't be here. Let's go NOW!
"{ｶｲｴﾝ}「あれは……！？
　ミナ！　シュン！！","{Cayenne}: There...!?
	 Mina! Shun!!","{CYAN}: No!!!
	Elayne! Owain!!"
"{ﾏｯｼｭ}「{カイエン}！
　お前の奥さんと息子さんか！？","{Mash}: {Cayenne}!
	 Are those your wife and son!?","{SABIN}: {CYAN}!
	Is that your wife and child?"
"『出発するのか！？
""Departing!?""
Departing!?
","""Departing!?""",Departing!?
{ｶｲｴﾝ}「まってくれ！　,{Cayenne}: Wait!,"{CYAN}: Please, wait! "
{ｶｲｴﾝ}「ミナ！！　,{Cayenne}: Mina!!,{CYAN}: Elayne! 
{ｶｲｴﾝ}「シュン……　,{Cayenne}: Shun...,{CYAN}: Owain... 
"　あなた……
　しあわせだったわ。
　ありがとう……"," Darling...
	 I had every happiness with you.
	 Thank you... ","My love...
  You made me so happy.
  Don't forget me..."
"　パパ！
　ぼく、がんばって剣のけいこをして
　ママを守るよ！！"," Daddy!
	 I'm gonna keep at my sword
	 training and protect mommy!!","Dad!
  I'll make sure Mom's all right!"
{ｼｬﾄﾞｳ}「そっとしておいてやれ。,{Shadow}: Leave him be.,{SHADOW}: Leave 'em alone.
{ﾏｯｼｭ}「これがバレンの滝か…,{Mash}: So this is Baren Falls...,{SABIN}: This must be Baren Falls.
"{ｶｲｴﾝ}「これより南は獣ケ原…
	　凶悪な獣がいる危険な場所ですぞ。
	{ﾏｯｼｭ}「だが後戻りしても
	　帝国軍が待ち受けてるぜ…
	{ｶｲｴﾝ}「フム。
	　獣ケ原をぬけることができれば
	　東の海岸ぞいにモブリズという村が
	　あるはずでござるが…","{Cayenne}: South of here lieth the Beast Plain...
	 a dangerous place with vicious beasts.
	{Mash}: But even if we turned back, the
	 Imperial army would be waiting for us...
	{Cayenne}: Just so.
	 There ought be a village called Mobliz
	 on the eastern coast, should we be
	 able to cross the Beast Plain...","{CYAN}: To the south is the Veldt. Dangerous creatures there.
	{SABIN}: And the Empire's right on our tails.
	{CYAN}: If we can slip through the Veldt,
	we can reach the town of Mobliz, to the east..."
"{ｼｬﾄﾞｳ}「俺の役目は終わった
　ようだな…",{Shadow}: It seems my duty is done...,"{SHADOW}: I have served my
  purpose..."
"{ﾏｯｼｭ}「おまえには世話になったな。
	　またいっしょに冒険しようぜ。","{Mash}: I owe you one.
	 Let's have another adventure together.","{SABIN}: Thanks for your help!
	Let's join ranks again some time!"
"　獣のようなかっこうをしているが、
	　　　　そのひとみの奥には
	　やさしいひかりをたたえた少年……","His appearance is like a beast's,
	but the depths of the boy's eyes
	are filled with a kind light...","Draped in monster hides, eyes
  shining with intelligence. A
  youth surviving against all
  odds..."
『君は…？,"""Who are...?""",And you are?
"{ガウ}
	「がうー！","{Gau}:
	Gauu!","{GAU}:
	Uwaoo~!!"
"{ガウ}
	「がうー！がうがう！！
	おまえたち　よそもの
	出ていけ！
	けものがはら　でていけ！！","{Gau}:
	Gauuu! Gau gau!!
	Yous outsiders.
	Get out!
	Get out Beast Plain!!","{GAU}:
	Uwaou!! Waooo......ooo!
	You......strangers...! Go away!
	You scare animals!"
"ディーンとカタリーナは１６さい。
	恋おおき年ごろね。","Dean and Catalina are 16.
	They're big on romance at that age.","Duane and Katrin are both 16
	and in love!"
"負傷兵「私はマランダの兵士です。
	　マランダが帝国に占りょうされ
	　帝国軍に入らざるをえなく
	　なったのです。
	ドマと戦うことがいやで、途中で脱そう
	したのですが…
	追手の帝国兵に見つかり、傷をおって
	しまいました…
	動くことすらできない…
	これでもう、二度とローラの顔も
	見れないのか…
	つくえの上に手紙があるのです。
	とっていただきませんか？","Wounded Soldier: I'm a Marandan soldier.
	 Maranda was captured by the
	 Empire, and we were forced to
	 join the Imperial army.
	I didn't want to fight Doma,
	so I deserted along the way...
	But I was found and maimed by
	pursuing Imperial soldiers...
	I can't even move...
	Will this keep me from ever being
	able to see Lola's face again...?
	There's a letter on the desk.
	Could I trouble you to get it for me?","INJURED LAD: I'm from Maranda.
  The Empire invaded, and made
  me join their army.
  I fled when I heard we were
  making for Doma.
  They caught me...and did this...
  Now I can't even move.
  I'll never see Lola again...
  On the desk is a letter.
  Will you please read it?"
"帝国の兵隊達がマランダの町を歩き
	ものものしさが前にもましてますが
	それ以外は、いたって平和な毎日を
	すごしています。
	そろそろ庭のお花がほころびはじめ
	春が近いことを知らせています。
	体のぐあいはどうですか？
	本当なら今すぐあなたのもとへ
	飛んでいきたい…心配でたまりません。
	とにかく体をなおすことだけを考えて。
	無理は、けっしてしないでください。
	あなたのことだけを毎日考えています。
	はやく会いたい…
	　　　　　　　　　　　　　　　ローラ","The Imperial soldiers walking the town
	of Maranda are even more imposing
	than ever, but outside of that, we're
	living our days quite peacefully.
	It's about time for the flowers in the garden
	to start opening, telling me spring is near.
	How is your health doing?
	Honestly, I wish I could fly to your side
	right now... I'm so worried I can't stand it.
	In any case, think only of recovering.
	Please be sure not to strain yourself.
	I think only of you every day.
	I want to see you soon...
	        
	      - Lola","I can't get used to Imperial
  troopers walking the streets of
  Maranda, but otherwise things
  are okay.
  Flowers are blooming in the
  garden, telling me spring is here.
  How are you doing?
  I'm so worried. I wish I could
  fly to your side!
  Rest, and know that I think
  about you constantly.
  Come back to me.
  　　　　　　　Lola"
"返事を書きたいのですが、うでの傷が
  ひどくなってペンをにぎるころすら
  できません…","I want to write a reply, but my arms
	are so badly wounded I can't even
	hold a pen...","I'd like to write her back, but I
	can't even pick up a pen."
"……あなたの好きなレコードが
  見つかりません…
  あなたを、少しでもそばに感じられる
  と思ったのですが……","...your favorite record is
	nowhere to be found...
	I thought I could feel, just a little,
	like you were with me...","I can't find your favorite record...
  I thought I'd play it and you'd
  be with me, but..."
"ローラの望みをかなえてやりたい…
  この体さえ動いたら…","I want to grant Lola's wishes...
	If only my body would move...","I'd give Lola everything...
	If only I could move..."
"……最近母の具合がよくありません。
  かといって、いまの私達には
  薬を買うお金もありません。
  ポーションがもう少しあれば……","...mother isn't feeling well lately.
	Regardless, we don't have the
	money now to buy medicine.
	If only we had a few more Potions...","Mother's taken ill. We can't
  afford medicine.
  If only we had some Tonic..."
"……なかなかお返事がこないので
  心配です……","...I haven't gotten a reply from you
	lately, so I'm worried...","I haven't heard from you.
  I'm so worried..."
"……この前、手紙に書いてあった本。
  いつか私にも読ませてね……","...you wrote about a book in your letter
	earlier. Let me read it, too, some time...","You said you were reading a
  book. If only I could read it,
  too..."
"聞きました…
	私のかわりにローラにいろいろなものを
	送ってくださったと。
	本当にありがとうございます。
	これは、お礼のしるしです。
	受け取って下さい。

「タマのすず」を受け取った。","I heard...
	Heard that you sent various
	things to Lola in my stead.
	I truly thank you.
	This is a token of my gratitude.
	Please accept it.

Accepted Tama's Bell.","I heard...
	In my name you send Lola many things...
	I wish to thank you.
	Please accept this as a token of my appreciation.

     Received ""Tintinabar."""
"はやく傷をなおしてマランダに
  帰りたい…
  ローラに会いたい…","I want to recover and hurry
	back home to Maranda...
	I want to see Lola...","I want to get better!
  I want to see Lola..."
"「蛇の道」と呼ばれる、海の底を
	走る海流をご存じかな？","Do you know of the ocean current called the
	Serpent's Way that runs along the sea floor?","Strong currents run through the Serpent Trench.
	Heard about it?"
"あれに乗れば、港町ニケアまで
	行くことができるんだが…
	この村にあった、水中で息ができる
	ヘルメットが盗まれてしまったのだ。","It would be possible to go all the way
	to the port town Nikaea if you rode it...
	But the helmet the village used to have that
	lets you breathe underwater was stolen.","Hop into the current, and you'll be swept to Nikeah!
	Too bad our under water breathing device was stolen!"
"はるか北の平野に家があったでしょ？
	あそこの老人は少し気が変なの。
	なんでも自分の子供を化け物と思って
	すててしまったとか…","There's a house in the plains up north, right?
	The old man there's a bit funny in the head.
	Seems he thought his own child was a
	monster and threw the kid out...","You stop by the house up in the far north? The guy there's a tad psycho.
"
"昨日、獣ケ原に狩りに出たとき
	モンスターの群れに子供がまじって
	いたような気がしたんだが…
	気のせいかな…？","I could have sworn there was a kid mixed
	in with a pack of monsters when I went out
	hunting on the Beast Plain yesterday...
	Was I just seeing things...?","Out hunting, I noticed a kid
	running with a herd of beasts!
	His parents know where he is?"
"このまえ「ほしにく」をモンスターの
	群れにやったら、人間の子供がでて
	きて、それを持っていっちまったんだ","When I gave some Jerky to a group
	of monsters the other day, a human
	kid came out and made off with it.","I threw some ""Dried Meat"" into
	a herd of hungry animals, and
	some kid emerged and grabbed it!"
ウウウ……　はらへった……,Oooo... Hungry...,Ooh...I'm hungry!
"{マッシュ}
	「な　なんだよ","{Mash}:
	Wh-what's with you?","{SABIN}:
	What the......"
"{カイエン}
	「みょうなやつで、ござる！！","{Cayenne}:
	Thou art a strange one!!","{CYAN}:
	Thou are so......odd."
"{カイエン}
	「せっしゃは、{カイエン}
	で、こっちが　{マッシュ}","{Cayenne}:
	I am {Cayenne},
	and this be {Mash}.","{CYAN}:
  I'm {CYAN} and he's {SABIN}."
"{ガウ}
	「{マッシュ}に{カイエン}か
	もっと　くいもの　くれ","{Gau}:
	{Mash} and {Cayenne}, huh.
	Give more food.","{GAU}:
	You {SABIN}...... you {CYAN},
  me want more food!!"
"{マッシュ}
	「もう、ねえよ","{Mash}:
	Ain't got any more.","{SABIN}:
	No more for you."
"{ガウ}
	「じゃあ　さがしてこい","{Gau}:
	Then go find.","{GAU}:
	You go......get more for me."
"{マッシュ}
	「おまえ、ちいさいな","{Mash}:
	You're pretty scrawny.","{SABIN}:
	You're a regular munchkin!"
"{ガウ}
	「おまえ　こわいんだろ？","{Gau}:
	You think you scary?","{GAU}:
	And you......afraid of me!"
"{マッシュ}
	「やるのか？","{Mash}:
	You wanna fight?","{SABIN}:
	You wanna fight?"
"{ガウ}
	「ついてこれればな！","{Gau}:
	If you can keep up!","{GAU}:
	Me not wanna hurt you......"
"{マッシュ}
	「あまく、みるなよ！","{Mash}:
	Don't take me lightly!","{SABIN}:
	Stop looking at me like that!"
"{マッシュ}
	「ぜえぜえ！
　なかなか、やるじゃねえか！","{Mash}:
	*puff* *puff*!
  Hey, you're not half bad!","{SABIN}:
	Wheeze......puff......!
  You're pretty tough!"
"{ガウ}
	「はあはあ！
　おまえ　すごい！","{Gau}:
	*pant* *pant*!
  You real good!","{GAU}:
	Wah, ha!
  That fun! You strong!"
"{ガウ}
	「ひっかかった！
　ひっかかった！！","{Gau}:
	Fell for it!
	Fell for it!!","{GAU}:
	Me like dancing!
	You good leader!"
"{マッシュ}
	「うるせえ！！","{Mash}:
	Shut up!!","{SABIN}:
	Shut up!!"
"{カイエン}
	「まあ、まあ、まあ、まあ、
　それはともかく、
　君は何者でござる？","{Cayenne}:
	Now, now, easy, easy.
	And in any case,
	who art thou?","{CYAN}:
	Simmer down, sirs!
	And thou, o wild one......
	who might thou be?"
"{ガウ}
	「ござる？","{Gau}:
	Thou?","{GAU}:
	Thou?"
"{ガウ}
	「ござる！　ござる！","{Gau}:
	Thou! Thou!","{GAU}:
	Thou! Thou!"
"{ガウ}
	「ござる！　ござる！","{Gau}:
	Thou! Thou!","{GAU}:
	Thou! Thou!"
"{ガウ}
	「ござる！　ござる！","{Gau}:
	Thou! Thou!","{GAU}:
	Thou! Thou!"
"{ガウ}
	「ござる！　ござる！","{Gau}:
	Thou! Thou!","{GAU}:
	Thou! Thou!"
"{ガウ}
	「おこった？","{Gau}:
	You mad?","{GAU}:
	You angry?"
"{ガウ}
	「{カイエン}！
	おこったのか？","{Gau}:
  {Cayenne}!
  You get mad?","{GAU}:
  {CYAN}!
  You angry......me?"
"{ガウ}
	「{カイエン}！
	おこったのか？","{Gau}:
  {Cayenne}!
  You get mad?","{GAU}:
  {CYAN}!
  You angry......me?"
"{ガウ}
	「{カイエン}！
	おこったのか？","{Gau}:
  {Cayenne}!
  You get mad?","{GAU}:
  {CYAN}!
  You angry......me?"
"{マッシュ}
	「じつは
	かくかく　しかじか
	なんだ……","{Mash}:
	Actually,
	(blah blah yadda yadda),
	you see...","{SABIN}:
	Listen, his family was just......"
"{ガウ}
	「そうだったのか
	{ガウ}　わるいやつ
	おいら　わるいやつ
{Gau}:
	Me see.
	{Gau} sorry.
	Me sorry.
{GAU}:
	Me understand......me sorry.
	Me not mean person......
","{Gau}:
	Me see.
	{Gau} sorry.
	Me sorry.","{GAU}:
	Me understand......me sorry.
	Me not mean person......"
"{カイエン}
	「なに、いつまでもくよくよ
	してはいられぬ
	それに、{ガウ}、
	おぬしとは、なにかうまがあい
	そうでござる！
	いっしょに来るか？
{Cayenne}:
	Come now, no need to
	keep thyself so gloomy.
	And besides, {Gau}, 
	'twould seem we get on
	rather well with thee!
	Wouldst come with us?
{CYAN}:
	Look! We can't have ye two
  prancing 'round all day!
  {GAU}, I think we're going
  to get on well together.
  Why don't you join us?
","{Cayenne}:
	Come now, no need to
	keep thyself so gloomy.
	And besides, {Gau}, 
	'twould seem we get on
	rather well with thee!
	Wouldst come with us?","{CYAN}:
	Look! We can't have ye two
  prancing 'round all day!
  {GAU}, I think we're going
  to get on well together.
  Why don't you join us?"
"{ガウ}
	「あっ！！
	プレゼントする！
	{ガウ}　{カイエン}と
	{マッシュ}にプレゼントする
	ほしにくの　おれいする","{Gau}:
	Aah!!
  Me give present!
  {Gau} give {Cayenne}
  and {Mash} present.
  Thank for Jerky.","{GAU}:
	Ah! I give you present!
  {GAU} give {CYAN} and
  {SABIN} nice gift in thanks
  for food!"
"{マッシュ}
	「どうせ、くだらないもの
　なんじゃないのか……？","{Mash}:
	Won't it just be junk
	anyway...?","{SABIN}:
	What manner of rubbish do
  you suppose he's gonna...?"
